time,level,rain,acc_rain
2019011020,-,0,0
2019011021,-,0,0
2019011022,-,0,0
2019011023,-,0,0
2019011024,-,0,0
2019011101,-,0,0
2019011102,-,0,0
2019011103,-,0,0
2019011104,-,0,0
2019011105,-,0,0
2019011106,-,0,0
2019011107,-,0,0
2019011108,-,0,0
2019011109,-,0,0
2019011110,-,0,0
2019011111,-,0,0
2019011112,-,0,0
2019011113,-,0,0
2019011114,-,0,0
2019011115,-,0,0
2019011116,-,0,0
2019011117,-,0,0
2019011118,-,0,0
2019011119,-,0,0
2019011120,-,0,0
2019011121,-,0,0
2019011122,-,0,0
2019011123,-,0,0
2019011124,-,0,0
2019011201,-,0,0
2019011202,-,0,0
2019011203,-,0,0
2019011204,-,0,0
2019011205,-,0,0
2019011206,-,0,0
2019011207,-,0,0
2019011208,-,0,0
2019011209,-,0,0
2019011210,-,0,0
2019011211,-,0,0
2019011212,-,0,0
2019011213,-,0,0
2019011214,-,0,0
2019011215,-,0,0
2019011216,-,0,0
2019011217,-,0,0
2019011218,-,0,0
2019011219,-,0,0
2019011220,-,0,0
2019011221,-,0,0
2019011222,-,0,0
2019011223,-,0,0
2019011224,-,0,0
2019011301,-,0,0
2019011302,-,0,0
2019011303,-,0,0
2019011304,-,0,0
2019011305,-,0,0
2019011306,-,0,0
2019011307,-,0,0
2019011308,-,0,0
2019011309,-,0,0
2019011310,-,0,0
2019011311,-,0,0
2019011312,-,0,0
2019011313,-,0,0
2019011314,-,0,0
2019011315,-,0,0
2019011316,-,0,0
2019011317,-,0,0
2019011318,-,0,0
2019011319,-,0,0
2019011320,-,0,0
2019011321,-,0,0
2019011322,-,0,0
2019011323,-,0,0
2019011324,-,0,0
2019011401,-,0,0
2019011402,-,0,0
2019011403,-,0,0
2019011404,-,0,0
2019011405,-,0,0
2019011406,-,0,0
2019011407,-,0,0
2019011408,-,0,0
2019011409,-,0,0
2019011410,-,0,0
2019011411,-,0,0
2019011412,-,0,0
2019011413,-,0,0
2019011414,-,0,0
2019011415,-,0,0
2019011416,-,0,0
2019011417,-,0,0
2019011418,-,0,0
2019011419,-,0,0
2019011420,-,0,0
2019011421,-,0,0
2019011422,-,0,0
2019011423,-,0,0
2019011424,-,0,0
2019011501,-,0,0
2019011502,-,0,0
2019011503,-,0,0
2019011504,-,0,0
2019011505,-,0,0
2019011506,-,0,0
2019011507,-,0,0
2019011508,-,0,0
2019011509,-,0,0
2019011510,-,0,0
2019011511,-,0,0
2019011512,-,0,0
2019011513,-,0,0
2019011514,-,0,0
2019011515,-,0,0
2019011516,-,0,0
2019011517,-,0,0
2019011518,-,0,0
2019011519,-,0,0
2019011520,-,0,0
2019011521,-,0,0
2019011522,-,0,0
2019011523,-,0,0
2019011524,-,0,0
2019011601,-,0,0
2019011602,-,0,0
2019011603,-,0,0
2019011604,-,0,0
2019011605,-,0,0
2019011606,-,0,0
2019011607,-,0,0
2019011608,-,0,0
2019011609,-,0,0
2019011610,-,0,0
2019011611,-,0,0
2019011612,-,0,0
2019011613,-,0,0
2019011614,-,0,0
2019011615,-,0,0
2019011616,-,0,0
2019011617,-,0,0
2019011618,-,0,0
2019011619,-,0,0
2019011620,-,0,0
2019011621,-,0,0
2019011622,-,0,0
2019011623,-,0,0
2019011624,-,0,0
